Event,Categories,Date,Location,Country,Year,Longitude,Latitude
"Wildfire - Stevens County (Spruce Canyon Fire), Washington, United States",Wildfires,2021-07-26 18:36:00+00:00,"[-117.5832, 48.54019]",United States,2021,-117.5832,48.54019
"Wildfire - Cascade County (American Fork Fire), Montana, United States",Wildfires,2021-07-26 18:32:00+00:00,"[-110.28626, 46.15516]",United States,2021,-110.28626,46.15516
"Wildfire - Flathead County (Hay Creek Fire), Montana, United States",Wildfires,2021-07-26 18:30:00+00:00,"[-114.42992, 48.77414]",United States,2021,-114.42992,48.77414
"Wildfires - Lincoln County (Burnt Peak Fire), Montana, United States",Wildfires,2021-07-26 18:26:00+00:00,"[-116.00995, 48.35426]",United States,2021,-116.00995,48.35426
"Wildfire - Cascade County (Divide Complex - Balsinger Fire), Montana, United States",Wildfires,2021-07-26 14:54:00+00:00,"[-110.88619, 47.00918]",United States,2021,-110.88619,47.00918
"Wildfire - Stevens County (Sherwood Fire), Washington, United States",Wildfires,2021-07-22 16:33:00+00:00,"[-117.97914, 47.91946]",United States,2021,-117.97914,47.91946
"Wildfire - Stevens County (Goddard Road Fire), Washington, United States",Wildfires,2021-07-21 16:55:00+00:00,"[-118.13894, 48.46294]",United States,2021,-118.13894,48.46294
"Wildfires - Carbon County (Robertson Draw Fire), Montana, United States",Wildfires,2021-07-20 15:51:00+00:00,"[-109.21818, 45.03283]",United States,2021,-109.21818,45.03283
"Wildfires - Granite County (Anderson Hill Fire), Montana, United States",Wildfires,2021-07-20 15:48:00+00:00,"[-113.3085, 46.81666]",United States,2021,-113.3085,46.81666
"Wildfires - Shoshone County (Character Complex), Idaho, United States",Wildfires,2021-07-19 17:25:00+00:00,"[-116.02637, 47.63211]",United States,2021,-116.02637,47.63211
"Wildfires - Beaver County (Black Mountain Fire), Montana, United States",Wildfires,2021-07-19 16:25:00+00:00,"[-113.45966, 45.1798]",United States,2021,-113.45966,45.1798
"Wildfires - Lemhi County (Mud Lick Fire), Idaho, United States",Wildfires,2021-07-18 23:29:00+00:00,"[-114.37901, 45.17826]",United States,2021,-114.37901,45.17826
"Wildfire - S of Carson City, Nevada - United States",Wildfires,2021-07-17 10:43:00+00:00,"[-119.830586901, 38.670339768]",United States,2021,-119.830586901,38.670339768
"Wildfires - Deschutes County (Darlene Fire), Oregon, United States",Wildfires,2021-07-15 16:42:00+00:00,"[-121.46825, 43.62011]",United States,2021,-121.46825,43.62011
"Wildfires - Klickitat County (Lyle Hill Fire), Washington, United States",Wildfires,2021-07-15 16:39:00+00:00,"[-121.27131, 45.69798]",United States,2021,-121.27131,45.69798
"Wildfires - Okanogan County (Cedar Creek/Varden/Delancy Fires), California, United States",Wildfires,2021-07-14 19:30:00+00:00,"[-120.522, 48.57827]",United States,2021,-120.522,48.57827
"Wildfire - NW of Spokane, Washington - United States",Wildfires,2021-07-13 10:42:00+00:00,"[-118.910256697, 48.139651026]",United States,2021,-118.910256697,48.139651026
"Wildfire - Mohave County (Elements Fire), Arizona, United States",Wildfires,2021-07-12 16:45:00+00:00,"[-114.08793, 35.43096]",United States,2021,-114.08793,35.43096
"Wildfire - Mariposa County (River Fire), California, United States",Wildfires,2021-07-12 14:44:00+00:00,"[-119.84447, 37.33621]",United States,2021,-119.84447,37.33621
"Wildfires - Mendocino County (Broiler Fire), California, United States",Wildfires,2021-07-08 16:32:00+00:00,"[-123.23517, 39.25635]",United States,2021,-123.23517,39.25635
"Wildfires - Asotin County (Dry Gulch Fire), Washington, United States",Wildfires,2021-07-08 16:28:00+00:00,"[-117.35373, 46.2923]",United States,2021,-117.35373,46.2923
"Wildfire - Spokane County (Andrus Fire), Washington, United States",Wildfires,2021-07-06 15:43:00+00:00,"[-117.5498, 47.54926]",United States,2021,-117.5498,47.54926
"Wildfire - Wasco County (Sunset Fire), Oregon, United States",Wildfires,2021-07-02 17:45:00+00:00,"[-121.11953, 45.57376]",United States,2021,-121.11953,45.57376
