company_name,company_number,company_status,company_type,kind,links,date_of_cessation,date_of_creation,sic_codes,company_subtype,address_line_1,locality,postal_code,country,region,address_line_2,year_of_cessation,year_of_creation
ADEPT CONTRACTING LTD,09960608,dissolved,ltd,search-results#company,{'company_profile': '/company/09960608'},2020-10-13,2016-01-20,['64191'],,3 Oak Bank,Birkenhead,CH41 2TS,United Kingdom,Merseyside,,2020,2016
LKNZ LIMITED,09978815,dissolved,ltd,search-results#company,{'company_profile': '/company/09978815'},2017-09-12,2016-02-01,['64191'],,Sloane Square House 2nd Floor,London,SW1W 8NS,England,,1 Holbein Place,2017,2016
BENEDICTS CLOSE LTD,09979588,dissolved,ltd,search-results#company,{'company_profile': '/company/09979588'},2021-08-10,2016-02-01,['64191'],,16 The Mall,Surbiton,KT6 4EQ,United Kingdom,Surrey,,2021,2016
WHYLES ENTERPRISES LTD,10031424,active,ltd,search-results#company,{'company_profile': '/company/10031424'},,2016-02-29,['64191'],,6-8 Freeman Street,Grimsby,DN32 7AA,England,,,,2016
CEDWARDS CONSULTING LIMITED,09419740,dissolved,ltd,search-results#company,{'company_profile': '/company/09419740'},2017-07-11,2015-02-03,['64191'],,4 Maritime Terrace,Pontypridd,CF37 1LG,Wales,Mid Glamorgan,,2017,2015
A & M MCGUIRE FINANCIAL SERVICES LTD,09440004,dissolved,ltd,search-results#company,{'company_profile': '/company/09440004'},2021-01-19,2015-02-13,['64191'],,300 St. Marys Road,Liverpool,L19 0NQ,England,,Garston,2021,2015
PETER J COLE HOLDINGS LIMITED,09454077,active,ltd,search-results#company,{'company_profile': '/company/09454077'},,2015-02-23,['64191'],,Freestyle House,Coventry,CV4 8HX,United Kingdom,Warwickshire,8 Mercia Business Village,,2015
NJ FINANCIAL CONTRACTING LTD,09453180,active,ltd,search-results#company,{'company_profile': '/company/09453180'},,2015-02-23,['64191'],,320 Firecrest Court Centre Park,Warrington,WA1 1RG,United Kingdom,,,,2015
A2 CONSULTING LTD,09459583,active,ltd,search-results#company,{'company_profile': '/company/09459583'},,2015-02-26,['64191'],,13 Manor Mount,London,SE23 3PY,United Kingdom,,,,2015
MQASIM CONTRACTING LIMITED,09460997,dissolved,ltd,search-results#company,{'company_profile': '/company/09460997'},2022-04-19,2015-02-26,['64191'],,18 Brantwood Close,Bradford,BD9 6QH,England,West Yorkshire,Heaton,2022,2015
SANSAI LIMITED,09819425,dissolved,ltd,search-results#company,{'company_profile': '/company/09819425'},2023-01-24,2015-10-12,['64191'],,46 Aberfoyle Road Streatham,London,SW16 5AA,United Kingdom,,,2023,2015
